RNC,Zone,Issue,Date,,,,
Q321003138-1,32,7,2,,,,
Q321003139-1,32,7,2,,,,
Q321003145-1,MTS,1,2,,,,
Q321003149-1,4,1,2,,,,
Q321003200-1,34,7,2,,,,
Q321003225-1,34,1,2,,,,
Q321003227-1,34,7,2,,,,
Q321003260-1,34,3,2,,,,
Q321003260-2,34,8,2,,,,
Q321003262-1,31,1,2,,,,
Q321003264-1,4,1,2,,,,
Q321003268-1,34,3,2,,,,
Q321003298-1,33,4,2,,,,
Q321003298-3,33,2,2,,,,
Q321003311-1,34,3,2,,,,
Q321003315-1,34,1,2,,,,
Q321003316-1,34,2,2,,,,
Q321003316-2,34,2,2,,,,
Q321003316-3,34,2,2,,,,
Q321003316-4,34,2,2,,,,
Q321003316-5,34,2,2,,,,
Q321003316-6,34,2,2,,,,
Q321003316-7,34,2,2,,,,
Q321003319-1,34,1,2,,,,
Q321003319-2,34,1,2,,,,
Q321003319-3,34,1,2,,,,
Q321003321-1,4,8,2,,,,
Q321003331-1,32,5,2,,,,
Q321003341-1,4,1,2,,,,
Q321003341-2,4,1,2,,,,
Q321003351-1,MTS,1,2,,,,
Q321003362-1,32,5,2,,,,
Q321003362-2,32,5,2,,,,
Q321003378-1,1,2,2,,,,
Q321003397-1,34,6,2,,,,
Q321003397-2,34,6,2,,,,
Q321003399-1,MTS,3,2,,,,
Q321003429-1,34,1,2,,,,
Q321003431-1,34,4,2,,,,
Q321003431-2,34,1,2,,,,
Q321003431-3,34,1,2,,,,
Q321003431-4,34,1,2,,,,
Q321003431-6,34,3,2,,,,
Q321003431-7,34,1,2,,,,
Q321003436-1,4,8,2,,,,
Q321003445-1,31,1,2,,,,
Q321003460-1,31,5,2,,,,
Q321003464-1,2,1,2,,,,
Q321003489-1,34,3,2,,,,
Q321003490-1,31,2,2,,,,
Q321003490-2,31,2,2,,,,
Q321003490-4,31,2,2,,,,
Q321003490-5,31,2,2,,,,
Q321003490-6,31,2,2,,,,
Q321003490-8,31,2,2,,,,
Q321003501-1,34,6,2,,,,
Q321003507-1,32,5,2,,,,
Q321003517-1,34,6,2,,,,
Q321003518-1,34,7,2,,,,
Q321003524-1,34,1,2,,,,
Q321003524-2,34,3,2,,,,
Q321003530-1,34,1,2,,,,
Q321003548-1,4,4,2,,,,
Q321003549-1,4,3,2,,,,
Q321003550-1,4,3,2,,,,
Q321003560-2,MTS,1,2,,,,
Q321003564-1,4,4,2,,,,
Q321003565-1,4,3,2,,,,
Q321003584-1,31,6,2,,,,
Q321003585-1,31,3,2,,,,
Q321003591-1,34,5,2,,,,
Q321003599-1,34,1,2,,,,
Q321003609-1,4,5,2,,,,
Q321003628-1,1,1,2,,,,
Q321003630-1,4,2,2,,,,
Q321003642-1,MTS,1,2,,,,
Q321003726-1,31,6,2,,,,
Q321003729-1,31,6,2,,,,
Q321003730-1,31,6,2,,,,
Q321003731-1,31,6,2,,,,
Q321003732-1,31,6,2,,,,
Q321003733-1,31,6,2,,,,
Q321003738-1,34,8,2,,,,
Q321003738-2,34,8,2,,,,
Q321003738-3,34,6,2,,,,
Q321003774-1,MTS,2,2,,,,
Q321003866-1,34,2,2,,,,
